batteryCount,drivebase,intakeDepot,intakeFloorNeutral,intakeOutpostCorral,maxFuelStorageEstimate,notes,preferredScoringSpot,scoringMethod,scouterName,teamNumber,towerCapabilityClaimed
7,tank,True,False,False,40,,nearHub,low-shot,Scout 1,1025,unknown
4,other,False,True,True,50,,varies,high-shot,Scout 3,1015,unknown
6,other,True,False,False,11,,backOfZone,other,Scout 3,1002,level3
4,tank,True,True,False,46,,nearHub,other,Scout 11,1007,level1
3,swerve,False,True,False,38,,backOfZone,low-shot,Scout 11,1000,level3
6,other,True,True,False,16,,varies,low-shot,Scout 4,1009,unknown
2,tank,True,True,True,16,,backOfZone,low-shot,Scout 12,1014,unknown
6,tank,True,True,True,20,,varies,other,Scout 10,1012,unknown
2,tank,True,True,True,13,,backOfZone,high-shot,Scout 4,1035,level3
7,tank,True,False,False,19,,nearHub,other,Scout 12,1003,level1
5,tank,True,True,True,10,,backOfZone,low-shot,Scout 10,1028,level3
4,other,True,False,True,48,,nearHub,dump,Scout 3,1032,level1
3,tank,True,False,False,32,,varies,other,Scout 11,1030,unknown
2,other,False,True,False,19,,backOfZone,other,Scout 8,1033,level2
5,other,True,True,True,13,,varies,other,Scout 3,1010,unknown
7,swerve,False,False,False,13,,backOfZone,high-shot,Scout 11,1008,level1
4,other,True,True,False,18,,varies,dump,Scout 1,1016,level3
5,tank,True,True,True,17,,varies,other,Scout 10,1019,level1
7,swerve,True,False,False,25,,backOfZone,high-shot,Scout 2,1020,level1
6,other,False,False,True,13,,backOfZone,high-shot,Scout 4,1013,unknown
5,swerve,True,True,True,28,,backOfZone,high-shot,Scout 11,1021,unknown
3,other,True,False,True,27,,backOfZone,other,Scout 10,1034,level2
4,other,True,True,False,37,,nearHub,low-shot,Scout 6,1001,unknown
5,tank,True,True,True,47,,varies,low-shot,Scout 9,1031,level1
5,other,False,True,False,16,,varies,low-shot,Scout 12,1011,level1
3,tank,True,True,True,12,,backOfZone,other,Scout 2,1024,unknown
6,swerve,False,True,True,11,,nearHub,low-shot,Scout 5,1027,unknown
7,other,True,True,False,47,,varies,low-shot,Scout 8,1006,unknown
7,swerve,True,True,False,43,,backOfZone,high-shot,Scout 4,1026,level2
5,tank,False,True,False,25,,nearHub,low-shot,Scout 10,1017,level3
3,tank,True,False,True,10,,backOfZone,dump,Scout 2,1022,unknown
7,swerve,True,False,False,19,,nearHub,other,Scout 5,1005,level2
7,tank,True,False,True,20,,varies,other,Scout 9,1023,level2
6,other,True,True,True,24,,varies,other,Scout 6,1029,level1
5,swerve,True,True,True,11,,varies,low-shot,Scout 6,1018,level3
3,swerve,False,False,True,19,,backOfZone,low-shot,Scout 12,1004,level3
