binEndSec,binSec,matchNumber,passActive,second,shootActive,teamNumber
1,1,4,0.0,0,0.0,3759
2,1,4,0.0,1,0.0,3759
3,1,4,0.0,2,0.0,3759
4,1,4,0.0,3,0.0,3759
5,1,4,0.0,4,0.0,3759
6,1,4,0.0,5,0.0,3759
7,1,4,0.0,6,0.0,3759
8,1,4,0.0,7,0.0,3759
9,1,4,0.0,8,0.0,3759
10,1,4,0.0,9,0.0,3759
11,1,4,0.0,10,0.0,3759
12,1,4,0.0,11,0.0,3759
13,1,4,0.0,12,0.0,3759
14,1,4,0.0,13,0.0,3759
15,1,4,0.0,14,0.0,3759
16,1,4,0.0,15,0.0,3759
17,1,4,0.0,16,0.0,3759
18,1,4,0.0,17,0.0,3759
19,1,4,0.0,18,0.0,3759
20,1,4,0.0,19,0.0,3759
21,1,4,0.0,20,0.0,3759
22,1,4,0.0,21,0.0,3759
23,1,4,0.0,22,0.0,3759
24,1,4,0.0,23,0.0,3759
25,1,4,0.0,24,0.0,3759
26,1,4,0.0,25,0.0,3759
27,1,4,0.0,26,0.0,3759
28,1,4,0.0,27,0.0,3759
29,1,4,0.0,28,0.0,3759
30,1,4,0.0,29,0.0,3759
31,1,4,0.0,30,0.0,3759
32,1,4,0.0,31,0.0,3759
33,1,4,0.0,32,0.0,3759
34,1,4,0.0,33,0.0,3759
35,1,4,0.0,34,0.0,3759
36,1,4,0.0,35,0.0,3759
37,1,4,0.0,36,0.0,3759
38,1,4,0.0,37,0.0,3759
39,1,4,0.0,38,0.0,3759
40,1,4,0.0,39,0.0,3759
41,1,4,0.0,40,0.0,3759
42,1,4,0.0,41,0.0,3759
43,1,4,0.0,42,0.0,3759
44,1,4,0.0,43,0.0,3759
45,1,4,0.0,44,0.0,3759
46,1,4,0.0,45,0.0,3759
47,1,4,0.0,46,0.0,3759
48,1,4,0.0,47,0.0,3759
49,1,4,0.0,48,0.0,3759
50,1,4,0.0,49,0.0,3759
51,1,4,0.0,50,0.0,3759
52,1,4,0.0,51,0.0,3759
53,1,4,0.0,52,0.0,3759
54,1,4,0.0,53,0.0,3759
55,1,4,0.0,54,0.0,3759
56,1,4,0.0,55,0.0,3759
57,1,4,0.0,56,0.0,3759
58,1,4,0.0,57,0.0,3759
59,1,4,0.0,58,0.0,3759
60,1,4,0.0,59,0.0,3759
61,1,4,0.0,60,0.0,3759
62,1,4,0.0,61,0.0,3759
63,1,4,0.0,62,0.0,3759
64,1,4,0.0,63,0.0,3759
65,1,4,0.0,64,0.0,3759
66,1,4,0.0,65,0.0,3759
67,1,4,0.0,66,0.0,3759
68,1,4,0.0,67,0.0,3759
69,1,4,0.0,68,0.0,3759
70,1,4,0.0,69,0.0,3759
71,1,4,0.0,70,0.0,3759
72,1,4,0.0,71,0.0,3759
73,1,4,0.0,72,0.0,3759
74,1,4,0.0,73,0.0,3759
75,1,4,0.0,74,0.0,3759
76,1,4,0.0,75,0.0,3759
77,1,4,0.0,76,0.0,3759
78,1,4,0.0,77,0.0,3759
79,1,4,0.0,78,0.0,3759
80,1,4,0.0,79,0.0,3759
81,1,4,0.0,80,0.0,3759
82,1,4,0.0,81,0.0,3759
83,1,4,0.0,82,0.0,3759
84,1,4,0.0,83,0.0,3759
85,1,4,0.0,84,0.0,3759
86,1,4,0.0,85,0.0,3759
87,1,4,0.0,86,0.0,3759
88,1,4,0.0,87,0.0,3759
89,1,4,0.0,88,0.0,3759
90,1,4,0.0,89,0.0,3759
91,1,4,0.0,90,0.0,3759
92,1,4,0.0,91,0.0,3759
93,1,4,0.0,92,0.0,3759
94,1,4,0.0,93,0.0,3759
95,1,4,0.0,94,0.0,3759
96,1,4,0.0,95,0.0,3759
97,1,4,0.0,96,0.0,3759
98,1,4,0.0,97,0.0,3759
99,1,4,0.0,98,0.0,3759
100,1,4,0.0,99,0.0,3759
101,1,4,0.0,100,0.0,3759
102,1,4,0.0,101,0.0,3759
103,1,4,0.0,102,0.0,3759
104,1,4,0.0,103,0.0,3759
105,1,4,0.0,104,0.0,3759
106,1,4,0.0,105,0.0,3759
107,1,4,0.0,106,0.0,3759
108,1,4,0.0,107,0.0,3759
109,1,4,0.0,108,0.0,3759
110,1,4,0.0,109,0.0,3759
111,1,4,0.0,110,0.0,3759
112,1,4,0.0,111,0.0,3759
113,1,4,0.0,112,0.0,3759
114,1,4,0.0,113,0.0,3759
115,1,4,0.0,114,0.0,3759
