avgAutoFuel,avgBreaksPerMatch,avgEstimatedPassBalls,avgEstimatedShotBalls,avgFoulsPerMatch,avgFuelPerMatch,avgPassHeldSec,avgShootHeldSec,avgTeleFuelPerMatch,breakRateAny,breakdownRate,consistencyIndex,defenseHeavyRate,defenseReceivedRate,defenseSomeRate,disciplineIndex,estimatedFuelPoints,expectedFuelTrendPerMatch,fuelMedian,fuelQ1,fuelQ3,fuelStdev,matchCount,pitBatteryCount,pitDrivebase,pitMaxFuelStorageEstimate,pitPreferredScoringSpot,pitScoringMethod,pitTowerCapabilityClaimed,reliabilityIndex,teamNumber,timelineCoverageRate
1.6333,0.0,0.0,78.8667,0.0,78.8667,0.0,15.7733,77.2333,0.0,0.0,0.918,0.0,0.0,0.0,1.0,78.8667,-0.1747,81.8,75.475,83.725,7.0482,3,0,,0.0,,,,1.0,4,1.0
3.9917,0.3333,79.2917,103.6833,0.0,103.6833,15.8583,20.7367,99.6917,0.3333,0.1667,0.5165,0.0,0.1667,0.1667,1.0,103.6833,-8.2559,67.675,30.0875,166.35,97.0498,6,0,,0.0,,,,0.7667,294,0.8333
0.9625,0.0,0.0,19.675,0.0,19.675,0.0,3.935,18.7125,0.0,0.25,0.7212,0.0,0.25,0.0,1.0,19.675,0.4873,21.0,13.95,26.725,7.6047,4,0,,0.0,,,,0.85,597,1.0
13.9375,0.25,101.975,116.7625,0.0,116.7625,20.395,23.3525,102.825,0.25,0.0,0.751,0.0,0.5,0.0,1.0,116.7625,0.9559,112.525,95.4875,133.8,38.7202,4,0,,0.0,,,,0.9,687,1.0
0.0,0.0,0.0,5.8125,0.0,5.8125,0.0,1.1625,5.8125,0.0,0.0,0.366,0.0,0.0,0.0,1.0,5.8125,-1.1625,0.0,0.0,5.8125,10.0675,4,0,,0.0,,,,1.0,867,0.25
0.0,0.0,11.7625,11.3,0.0,11.3,2.3525,2.26,11.3,0.0,0.25,0.4996,0.25,0.0,0.0,1.0,11.3,-0.8483,10.825,0.0,22.125,11.3199,4,0,,0.0,,,,0.85,980,0.5
1.3333,0.0,0.8417,35.9833,0.0,35.9833,0.1683,7.1967,34.65,0.0,0.1667,0.4634,0.1667,0.0,0.3333,1.0,35.9833,-2.5199,23.55,4.8,42.2625,41.6681,6,0,,0.0,,,,0.9,1159,0.8333
1.7375,0.5,7.125,18.0,0.0,18.0,1.425,3.6,16.2625,0.5,0.0,0.682,0.0,0.0,0.25,1.0,18.0,0.4823,17.25,14.1125,21.1375,8.3943,4,0,,0.0,,,,0.8,1197,1.0
0.0,0.25,75.875,33.925,0.0,33.925,15.175,6.785,33.925,0.25,0.25,0.5999,0.0,0.0,0.25,1.0,33.925,0.7351,29.3,20.7375,42.4875,22.6286,4,0,,0.0,,,,0.75,1515,1.0
0.0,0.0,0.05,115.31,0.0,115.31,0.01,23.062,115.31,0.0,0.0,0.81,0.0,0.0,0.2,1.0,115.31,0.0769,112.8,101.3,117.45,27.0413,5,0,,0.0,,,,1.0,1661,1.0
0.0,0.0,0.6,4.33,0.0,4.33,0.12,0.866,4.33,0.0,0.0,0.4213,0.2,0.2,0.4,1.0,4.33,0.0019,1.35,0.0,4.55,5.9472,5,0,,0.0,,,,1.0,1759,0.8
10.02,0.2,73.35,50.2,0.2,50.2,14.67,10.04,40.18,0.2,0.2,0.378,0.0,0.2,0.2,0.9667,50.2,-0.5375,12.25,6.7,17.05,82.596,5,0,,0.0,,,,0.8,1836,1.0
