contribution,metric,normalizedValue,rawValue,teamNumber,weight
-0.412636,avgFuelPerMatch,-0.29474,47.1808,1000,1.4
-0.176795,avgAutoFuel,-0.294659,7.0775,1000,0.6
-0.294237,avgShootHeldSec,-0.367796,8.9325,1000,0.8
0.345345,avgPassHeldSec,0.690691,3.7775,1000,0.5
-0.353537,estimatedFuelPoints,-0.294614,47.1814,1000,1.2
-0.545539,consistencyIndex,-0.606155,0.6763,1000,0.9
1.068705,reliabilityIndex,1.068705,0.9667,1000,1.0
-2.077825,disciplineIndex,-2.968322,0.875,1000,0.7
0.198848,defenseHeavyRate,0.497119,0.25,1000,0.4
-0.465401,timelineCoverageRate,-0.930802,0.9167,1000,0.5
-0.758008,avgFuelPerMatch,-0.541434,45.7846,1001,1.4
-0.323957,avgAutoFuel,-0.539928,6.8692,1001,0.6
0.078783,avgShootHeldSec,0.098479,9.3969,1001,0.8
0.039081,avgPassHeldSec,0.078161,3.4708,1001,0.5
-0.650029,estimatedFuelPoints,-0.541691,45.7831,1001,1.2
0.614103,consistencyIndex,0.682337,0.737,1001,0.9
-2.057218,reliabilityIndex,-2.057218,0.7692,1001,1.0
-0.007802,disciplineIndex,-0.011146,0.9487,1001,0.7
-0.444092,defenseHeavyRate,-1.110231,0.0769,1001,0.4
0.279539,timelineCoverageRate,0.559078,1.0,1001,0.5
2.7762,avgFuelPerMatch,1.983,60.072,1002,1.4
1.186589,avgAutoFuel,1.977648,9.0073,1002,0.6
0.611968,avgShootHeldSec,0.764959,10.0607,1002,0.8
-0.415773,avgPassHeldSec,-0.831546,3.0153,1002,0.5
2.380208,estimatedFuelPoints,1.983507,60.0741,1002,1.2
-0.46339,consistencyIndex,-0.514878,0.6806,1002,0.9
-1.992325,reliabilityIndex,-1.992325,0.7733,1002,1.0
0.809534,disciplineIndex,1.156477,0.9778,1002,0.7
-0.234608,defenseHeavyRate,-0.586519,0.1333,1002,0.4
-0.31695,timelineCoverageRate,-0.633899,0.9333,1002,0.5
-0.158716,avgFuelPerMatch,-0.113368,48.2073,1003,1.4
-0.06842,avgAutoFuel,-0.114033,7.2309,1003,0.6
-0.791356,avgShootHeldSec,-0.989194,8.3136,1003,0.8
-0.479183,avgPassHeldSec,-0.958366,2.9518,1003,0.5
-0.135222,estimatedFuelPoints,-0.112685,48.211,1003,1.2
-1.957361,consistencyIndex,-2.174845,0.6024,1003,0.9
1.595759,reliabilityIndex,1.595759,1.0,1003,1.0
-1.120053,disciplineIndex,-1.600076,0.9091,1003,0.7
-0.054466,defenseHeavyRate,-0.136164,0.1818,1003,0.4
-0.533367,timelineCoverageRate,-1.066734,0.9091,1003,0.5
1.428801,avgFuelPerMatch,1.020572,54.625,1004,1.4
0.617087,avgAutoFuel,1.028479,8.2012,1004,0.6
-0.393676,avgShootHeldSec,-0.492095,8.8087,1004,0.8
1.645997,avgPassHeldSec,3.291993,5.08,1004,0.5
1.224176,estimatedFuelPoints,1.020147,54.6221,1004,1.2
-0.641062,consistencyIndex,-0.712291,0.6713,1004,0.9
-0.382673,reliabilityIndex,-0.382673,0.875,1004,1.0
0.261835,disciplineIndex,0.37405,0.9583,1004,0.7
0.198848,defenseHeavyRate,0.497119,0.25,1004,0.4
0.279539,timelineCoverageRate,0.559078,1.0,1004,0.5
0.2365,avgFuelPerMatch,0.168928,49.805,1005,1.4
0.099654,avgAutoFuel,0.16609,7.4688,1005,0.6
0.666667,avgShootHeldSec,0.833334,10.1288,1005,0.8
-0.614491,avgPassHeldSec,-1.228981,2.8163,1005,0.5
0.202661,estimatedFuelPoints,0.168884,49.8045,1005,1.2
0.948432,consistencyIndex,1.053813,0.7545,1005,0.9
0.804387,reliabilityIndex,0.804387,0.95,1005,1.0
0.261835,disciplineIndex,0.37405,0.9583,1005,0.7
-0.265436,defenseHeavyRate,-0.66359,0.125,1005,0.4
0.279539,timelineCoverageRate,0.559078,1.0,1005,0.5
-1.035972,avgFuelPerMatch,-0.73998,44.6609,1006,1.4
-0.446038,avgAutoFuel,-0.743397,6.6964,1006,0.6
-0.676654,avgShootHeldSec,-0.845818,8.4564,1006,0.8
-0.278568,avgPassHeldSec,-0.557136,3.1527,1006,0.5
-0.886643,estimatedFuelPoints,-0.738869,44.6672,1006,1.2
0.784133,consistencyIndex,0.871259,0.7459,1006,0.9
-0.131016,reliabilityIndex,-0.131016,0.8909,1006,1.0
1.006144,disciplineIndex,1.437349,0.9848,1006,0.7
-0.392093,defenseHeavyRate,-0.980232,0.0909,1006,0.4
0.279539,timelineCoverageRate,0.559078,1.0,1006,0.5
-1.489962,avgFuelPerMatch,-1.064259,42.8256,1007,1.4
-0.637356,avgAutoFuel,-1.06226,6.4256,1007,0.6
-0.034713,avgShootHeldSec,-0.043391,9.2556,1007,0.8
-0.402192,avgPassHeldSec,-0.804385,3.0289,1007,0.5
-1.277175,estimatedFuelPoints,-1.064312,42.8254,1007,1.2
1.57888,consistencyIndex,1.754311,0.7875,1007,0.9
-1.921102,reliabilityIndex,-1.921102,0.7778,1007,1.0
-0.128577,disciplineIndex,-0.183681,0.9444,1007,0.7
0.508246,defenseHeavyRate,1.270615,0.3333,1007,0.4
0.279539,timelineCoverageRate,0.559078,1.0,1007,0.5
-0.044482,avgFuelPerMatch,-0.031773,48.6691,1008,1.4
-0.021509,avgAutoFuel,-0.035848,7.2973,1008,0.6
-0.47657,avgShootHeldSec,-0.595712,8.7055,1008,0.8
-0.562664,avgPassHeldSec,-1.125328,2.8682,1008,0.5
-0.037494,estimatedFuelPoints,-0.031245,48.6719,1008,1.2
-0.056464,consistencyIndex,-0.062738,0.7019,1008,0.9
-0.419076,reliabilityIndex,-0.419076,0.8727,1008,1.0
-0.269013,disciplineIndex,-0.384304,0.9394,1008,0.7
-0.054466,defenseHeavyRate,-0.136164,0.1818,1008,0.4
0.279539,timelineCoverageRate,0.559078,1.0,1008,0.5
-1.722634,avgFuelPerMatch,-1.230453,41.885,1009,1.4
-0.737183,avgAutoFuel,-1.228638,6.2843,1009,0.6
-0.77015,avgShootHeldSec,-0.962688,8.34,1009,0.8
0.193062,avgPassHeldSec,0.386123,3.625,1009,0.5
-1.476406,estimatedFuelPoints,-1.230338,41.8858,1009,1.2
0.667596,consistencyIndex,0.741773,0.7398,1009,0.9
-0.890734,reliabilityIndex,-0.890734,0.8429,1009,1.0
0.09612,disciplineIndex,0.137315,0.9524,1009,0.7
-0.464521,defenseHeavyRate,-1.161302,0.0714,1009,0.4
0.279539,timelineCoverageRate,0.559078,1.0,1009,0.5
0.949902,avgFuelPerMatch,0.678501,52.689,1010,1.4
0.409238,avgAutoFuel,0.682063,7.907,1010,0.6
0.827474,avgShootHeldSec,1.034343,10.329,1010,0.8
0.60947,avgPassHeldSec,1.21894,4.042,1010,0.5
0.812991,estimatedFuelPoints,0.677493,52.6829,1010,1.2
0.81279,consistencyIndex,0.9031,0.7474,1010,0.9
1.595759,reliabilityIndex,1.595759,1.0,1010,1.0
