avgAutoFuel_contribution,avgAutoFuel_normalized,avgAutoFuel_raw,avgFuelPerMatch_contribution,avgFuelPerMatch_normalized,avgFuelPerMatch_raw,avgPassHeldSec_contribution,avgPassHeldSec_normalized,avgPassHeldSec_raw,avgShootHeldSec_contribution,avgShootHeldSec_normalized,avgShootHeldSec_raw,consistencyIndex_contribution,consistencyIndex_normalized,consistencyIndex_raw,defenseHeavyRate_contribution,defenseHeavyRate_normalized,defenseHeavyRate_raw,disciplineIndex_contribution,disciplineIndex_normalized,disciplineIndex_raw,estimatedFuelPoints_contribution,estimatedFuelPoints_normalized,estimatedFuelPoints_raw,matchCount,rank,reliabilityIndex_contribution,reliabilityIndex_normalized,reliabilityIndex_raw,score,teamNumber,timelineCoverageRate_contribution,timelineCoverageRate_normalized,timelineCoverageRate_raw,weightedSum
-0.11791,-0.196517,1.6333,1.337507,0.955362,78.8667,-0.332956,-0.665912,0.0,0.764286,0.955357,15.7733,2.192388,2.435986,0.918,-0.201583,-0.503957,0.0,0.119747,0.171067,1.0,1.146434,0.955362,78.8667,3,1,1.127563,1.127563,1.0,100.0,4,0.47301,0.946021,1.0,6.508486
0.318882,0.53147,3.9917,2.219531,1.585379,103.6833,1.095024,2.190048,15.8583,1.268308,1.585385,20.7367,-0.016017,-0.017796,0.5165,-0.201583,-0.503957,0.0,0.119747,0.171067,1.0,1.902455,1.585379,103.6833,6,2,-0.374271,-0.374271,0.7667,100.0,294,0.200816,0.401632,0.8333,6.532893
2.160913,3.601521,13.9375,2.684388,1.91742,116.7625,1.503537,3.007074,20.395,1.533936,1.917421,23.3525,1.273823,1.415359,0.751,-0.201583,-0.503957,0.0,0.119747,0.171067,1.0,2.300904,1.91742,116.7625,4,3,0.483828,0.483828,0.9,100.0,687,0.47301,0.946021,1.0,12.332504
-0.420409,-0.700681,0.0,2.632763,1.880545,115.31,-0.332056,-0.664111,0.01,1.504437,1.880546,23.062,1.598346,1.77594,0.81,-0.201583,-0.503957,0.0,0.119747,0.171067,1.0,2.256654,1.880545,115.31,5,4,1.127563,1.127563,1.0,100.0,1661,0.47301,0.946021,1.0,8.758474
1.420863,2.368105,9.9417,1.637834,1.169881,87.3167,-0.201335,-0.402671,1.4617,0.935902,1.169877,17.4633,0.351959,0.391066,0.5834,-0.201583,-0.503957,0.0,0.119747,0.171067,1.0,1.403858,1.169881,87.3167,6,5,-1.018006,-1.018006,0.6667,100.0,2584,0.200816,0.401632,0.8333,4.650054
0.685277,1.142128,5.97,3.414681,2.439058,137.31,0.676102,1.352204,11.206,1.951247,2.439059,27.462,1.233121,1.370134,0.7436,-0.201583,-0.503957,0.0,0.119747,0.171067,1.0,2.926869,2.439058,137.31,5,6,0.612575,0.612575,0.92,100.0,3476,0.47301,0.946021,1.0,11.891046
-0.003693,-0.006155,2.25,3.434467,2.453191,137.8667,-0.309841,-0.619682,0.2567,1.962549,2.453187,27.5733,2.174786,2.416429,0.9148,-0.201583,-0.503957,0.0,0.119747,0.171067,1.0,2.943829,2.453191,137.8667,3,7,1.127563,1.127563,1.0,100.0,4322,0.47301,0.946021,1.0,11.720835
-0.128708,-0.214513,1.575,0.879314,0.628081,65.975,-0.332956,-0.665912,0.0,0.502465,0.628082,13.195,0.593976,0.659973,0.6274,-0.201583,-0.503957,0.0,0.119747,0.171067,1.0,0.753697,0.628081,65.975,4,8,0.161961,0.161961,0.85,100.0,5137,0.47301,0.946021,1.0,2.820924
0.485253,0.808755,4.89,2.508368,1.791691,111.81,0.743096,1.486193,11.95,1.433353,1.791692,22.362,0.491119,0.545688,0.6087,-0.201583,-0.503957,0.0,0.119747,0.171067,1.0,2.150029,1.791691,111.81,5,9,-0.674895,-0.674895,0.72,100.0,9408,0.47301,0.946021,1.0,7.527498
-0.154952,-0.258253,1.4333,0.661916,0.472797,59.8583,-0.183182,-0.366364,1.6633,0.378242,0.472802,11.9717,0.863495,0.959439,0.6764,-0.201583,-0.503957,0.0,0.119747,0.171067,1.0,0.567356,0.472797,59.8583,6,10,0.054457,0.054457,0.8333,96.413117,4415,0.47301,0.946021,1.0,2.578506
