auto,climb,consistency,defense,discipline,overall,pass,reliability,teamNumber,tele,tempo
1.1781,1.1464,1.3141,2.8,1.2952,1.7731,0.773,1.0126,4,1.4647,1.1283
0.1412,0.6242,0.3048,0.282,0.3567,0.7068,0.5207,1.6051,294,1.5028,-0.663
0.2708,0.236,0.639,1.2848,-0.4832,0.1497,1.5613,-0.3426,597,-0.1815,0.518
-0.3782,0.3804,-0.9304,-0.7776,0.4845,-0.5222,0.2001,0.3598,687,0.3429,-1.8443
0.0544,0.3342,0.164,1.6997,0.085,-0.1595,-0.339,-0.1549,867,-0.7979,-0.3987
-0.695,-0.2515,-0.9254,-1.6802,0.4165,-1.2335,-0.0507,-0.7741,980,-0.4066,0.5309
0.7018,0.53,1.0158,-0.2775,0.3785,0.2862,0.0823,-0.1296,1159,0.5096,-0.4309
-0.5374,-0.456,-0.9349,0.7548,0.3963,-1.0107,-0.2125,-0.5829,1197,-1.2717,-1.5277
0.1338,0.1383,0.3149,-1.3538,0.3641,0.0164,-0.6184,0.3732,1515,0.244,0.1606
-0.0518,-0.8337,0.1733,1.6542,-0.5235,-0.418,-1.0106,-1.8301,1661,-0.8128,-0.3008
-2.1289,-0.73,-0.37,-1.209,0.1218,-0.9449,-0.0412,0.2834,1759,-0.0339,-0.491
0.9092,-0.5619,-0.6646,1.59,-0.2213,0.0629,1.4233,0.1677,1836,0.8481,0.5308
-0.6446,-0.3926,-1.8669,0.4896,-0.9854,-1.5631,-1.0188,0.818,2584,-0.6242,-0.2768
0.2842,0.2038,0.7809,1.1603,0.0693,1.0821,0.4823,1.6192,2710,1.8031,0.6932
1.1664,0.2573,1.6691,0.716,-0.6272,0.0988,0.6489,0.1705,3408,-0.2632,-0.0666
-0.2744,-0.858,-0.2865,0.5764,0.746,-1.014,0.4503,-2.2598,3476,-0.7764,-0.7959
-0.0913,0.1794,-0.2934,-1.4402,0.0008,-0.4207,0.1161,-0.3784,3759,-0.5163,0.9345
-0.2571,-0.4916,0.2985,-0.2752,0.4552,0.4312,-0.1581,0.1715,4123,-0.0285,0.1515
-0.698,-0.1378,0.9483,-0.6755,-0.7529,-0.2439,-1.3303,0.1292,4201,-0.2767,0.437
-0.1026,-0.3055,0.4434,-0.2541,0.4253,-0.7433,0.1996,-0.1382,4322,-1.2367,-0.0416
-0.3901,0.2681,-0.0521,-1.9658,0.1106,0.1814,-0.1354,2.6094,4415,-0.717,0.1817
-0.0732,-0.994,-0.0427,0.9292,0.3348,-0.4091,-0.5972,-0.5335,4470,-0.164,-0.3658
-1.1469,-1.4196,0.6425,0.2899,-1.1617,-1.2919,-0.5579,-1.954,4501,-1.2814,-0.8607
1.0373,0.3176,-0.5554,-0.1441,0.5588,0.8308,0.2744,0.5074,4964,-0.0799,0.838
-1.0079,0.9,-0.7644,0.1969,0.1473,-0.4586,-0.6931,0.8421,4999,-0.7199,0.0069
0.1189,-0.8876,0.3443,0.3894,0.1651,-0.5401,0.0255,-1.6666,5089,-0.5307,-1.0051
0.0774,-0.4551,-1.0079,0.7551,0.3405,0.1296,0.0773,0.087,5124,-0.0839,-1.0822
1.5817,0.5095,1.1997,-1.0711,1.5237,1.0646,1.6856,-0.026,5137,1.7105,0.37
0.3613,-0.5105,0.2047,-0.7192,-0.5581,-0.2415,0.4408,0.6235,5669,0.0484,0.707
1.593,0.4751,-0.213,-0.2635,0.1952,0.5236,-0.7297,-0.0504,5835,-0.0808,0.4061
1.5325,1.1502,1.0127,0.4848,1.0437,0.4637,0.5205,1.6332,5857,1.3837,1.3975
-0.9214,-0.2979,-0.4672,-0.0701,-0.6243,-0.4874,0.0349,-1.8207,6000,-0.6604,-0.4158
0.1106,0.0947,0.1517,0.2528,1.0063,0.2614,0.0544,-0.6719,6072,0.6901,0.1843
-1.2117,-0.0663,-0.2713,-1.1425,-0.5084,-0.9082,-0.9676,-0.2359,6220,-1.5715,-0.1842
0.7657,0.0463,-0.29,0.1646,-0.1008,0.3635,0.8055,0.076,6904,-0.1489,-0.7249
0.402,-1.3795,0.3851,0.4679,-0.0435,-0.2097,-0.2653,-0.3086,7042,-0.487,-0.1712
0.9458,0.3646,0.9115,1.0801,0.0968,1.1983,0.8955,0.7625,7230,0.576,-0.3446
0.8743,1.1781,0.1866,-0.2771,0.2294,1.1266,1.7037,0.1502,8898,1.078,0.4857
1.3493,0.1531,0.2263,-0.6421,0.2441,1.0662,0.33,0.0163,9408,1.0371,1.1983
-0.8194,-0.3253,-0.1027,-0.9267,-2.4361,-0.2561,1.2049,0.2765,9505,-0.4746,-0.3885
0.1991,0.8532,-1.0665,-0.1786,-0.0819,1.0051,-0.0236,0.8046,9696,1.422,0.4069
-0.3465,0.1938,0.1614,0.0144,0.5499,-0.3372,-0.1306,-1.3883,11096,0.0928,-1.094
