batteryCount,drivebase,intakeDepot,intakeFloorNeutral,intakeOutpostCorral,maxFuelStorageEstimate,notes,preferredScoringSpot,scoringMethod,scouterName,teamNumber,towerCapabilityClaimed
5,swerve,True,True,False,38,Strong auto consistency in center lane.,backOfZone,low-shot,Scout 12,4,level2
8,other,False,True,False,43,Strong auto consistency in center lane.,varies,high-shot,Scout 2,294,level3
5,tank,True,False,True,14,Needs occasional reset after defense contact.,varies,dump,Scout 4,597,level3
4,swerve,False,False,False,30,Strong auto consistency in center lane.,nearHub,high-shot,Scout 1,687,level3
4,swerve,True,True,False,18,Battery swap critical before playoffs.,varies,dump,Scout 9,867,unknown
5,swerve,False,True,False,19,Battery swap critical before playoffs.,varies,high-shot,Scout 9,980,unknown
6,other,True,True,False,36,Needs occasional reset after defense contact.,nearHub,high-shot,Scout 10,1159,unknown
4,tank,False,True,False,17,,varies,low-shot,Scout 1,1197,level1
5,tank,True,True,False,26,,varies,other,Scout 2,1515,level1
2,swerve,False,True,False,12,,nearHub,high-shot,Scout 6,1661,level1
5,tank,False,False,False,18,,nearHub,high-shot,Scout 11,1759,level2
2,swerve,True,True,True,31,Can switch between scoring and defense mid-match.,varies,low-shot,Scout 8,1836,unknown
5,swerve,True,False,False,21,Prefers fast cycle rhythm.,backOfZone,other,Scout 2,2584,level2
6,swerve,True,True,True,33,,backOfZone,low-shot,Scout 1,2710,level2
5,tank,True,False,True,21,Can switch between scoring and defense mid-match.,varies,low-shot,Scout 8,3408,level1
2,tank,True,True,True,23,,backOfZone,other,Scout 5,3476,level2
5,tank,True,True,False,10,Prefers fast cycle rhythm.,varies,other,Scout 2,3759,level3
5,swerve,False,False,True,18,,varies,low-shot,Scout 10,4123,level3
4,other,True,False,True,26,,varies,dump,Scout 5,4201,level2
3,tank,True,False,True,7,,nearHub,low-shot,Scout 10,4322,unknown
6,swerve,True,False,False,14,,nearHub,low-shot,Scout 4,4415,level2
5,other,True,False,False,27,,varies,other,Scout 8,4470,unknown
3,tank,True,False,True,9,,varies,high-shot,Scout 5,4501,level2
4,tank,True,True,True,32,Battery swap critical before playoffs.,nearHub,dump,Scout 4,4964,level1
6,swerve,False,False,True,23,,backOfZone,high-shot,Scout 12,4999,level3
3,other,False,True,False,17,,varies,low-shot,Scout 2,5089,unknown
7,swerve,False,False,True,16,,nearHub,low-shot,Scout 5,5124,unknown
4,tank,False,False,True,40,,nearHub,dump,Scout 2,5137,level2
5,other,True,True,False,18,Prefers fast cycle rhythm.,backOfZone,dump,Scout 1,5669,level2
2,swerve,True,False,False,17,,nearHub,dump,Scout 1,5835,level3
5,swerve,False,True,True,37,,varies,dump,Scout 2,5857,level2
3,tank,True,True,False,19,,varies,high-shot,Scout 2,6000,level1
3,tank,True,False,False,44,Needs occasional reset after defense contact.,nearHub,dump,Scout 11,6072,level3
4,swerve,True,False,False,8,Battery swap critical before playoffs.,nearHub,low-shot,Scout 5,6220,level3
5,swerve,False,False,False,25,Prefers fast cycle rhythm.,nearHub,other,Scout 3,6904,unknown
4,swerve,True,True,True,18,Prefers fast cycle rhythm.,varies,dump,Scout 4,7042,unknown
5,tank,True,True,True,25,,backOfZone,low-shot,Scout 6,7230,level3
4,swerve,True,True,False,46,Can switch between scoring and defense mid-match.,backOfZone,high-shot,Scout 3,8898,unknown
4,tank,False,False,True,35,Prefers fast cycle rhythm.,nearHub,dump,Scout 12,9408,unknown
3,other,True,True,False,14,Strong auto consistency in center lane.,varies,high-shot,Scout 4,9505,level1
6,tank,True,True,True,33,,nearHub,low-shot,Scout 2,9696,level1
4,tank,False,True,True,30,Prefers fast cycle rhythm.,nearHub,dump,Scout 12,11096,unknown
